ASMS_BATCH_NUM,COMPOUND_ID,COMPOUND_FORMULA,SMILES,POOL_NAME,POOL_ID,POOL_SIZE,PROTEIN_NUMBER,TARGET_ID,PROTEIN_ID,PROTEIN_SEQ,PROTEIN_TAG,INCUBATION_VOLUME,PROTEIN_CONC,COMPOUND_CONC,MS_REPRODUCABILITY,POS_INT_REP1,POS_INT_REP2,POS_INT_REP3,TARGET_VALUE,SELECTIVE_VALUE,NTC_VALUE,ENRICHMENT,SELECTIVE_ENRICHMENT,PVALUE,BINARY_LABEL,SPR,KD
6,XS387475a,C20H18N4O2,O=C(NCc1cccc(CNC(=O)c2ccncc2)c1)c1ccncc1,ChemDivA01,ASTPP000922,464,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,19395.62109,3000.0,3000.0,8465.20703,48012.90364666667,3000.0,2.8217356766666666,0.1763110827934211,0.2626776829013771,N,N,
6,XS387475a,C20H18N4O2,O=C(NCc1cccc(CNC(=O)c2ccncc2)c1)c1ccncc1,ChemDivA01,ASTPP000922,464,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,3000.0,13240.60352,3000.0,6413.534506666667,48012.90364666667,3000.0,2.137844835555556,0.1335793926121344,0.0608350153564768,N,N,
6,XS380032a;XS387154a,C19H14N6S;C15H19FN2O5S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1;O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,ChemDivA01,ASTPP000922,464,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,23572.75195,35077.03516,21630.83398,26760.20703,235011.33856666667,19285.68131666667,1.387568662501638,0.1138677273752424,0.0007865215922785,N,N,
6,XS380032a;XS387154a,C19H14N6S;C15H19FN2O5S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1;O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,ChemDivA01,ASTPP000922,464,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,36275.05078,35495.87109,33605.26953,35125.397133333325,235011.33856666667,19285.68131666667,1.821320001952847,0.14946256358337,0.0030936732646757,N,N,
6,XS385381a,C11H17N7,CCN1CCN(c2ncnc3c2nnn3C)CC1,ChemDivA02,ASTPP000924,463,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,3000.0,3000.0,3000.0,3000.0,106181.62239666667,3000.0,1.0,0.0282534767531879,1.0,N,N,
6,XS385381a,C11H17N7,CCN1CCN(c2ncnc3c2nnn3C)CC1,ChemDivA02,ASTPP000924,463,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,97675.35156,85935.66406,74551.0,86054.00520666667,106181.62239666667,3000.0,28.684668402222226,0.8104416118750898,0.0037345219580604,N,N,
6,XS385184a,C17H18N6O2,C=CCn1c(NN=C(C)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,ChemDivA02,ASTPP000924,463,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,40927.80078,30352.06641,48425.60547,39901.82422,69259.03645999999,3000.0,13.300608073333336,0.5761244490174937,0.0859192448992195,N,N,
6,XS385184a,C17H18N6O2,C=CCn1c(NN=C(C)c2ccccc2)nc2c1c(=O)[nH]c(=O)n2C,ChemDivA02,ASTPP000924,463,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,3000.0,3000.0,3000.0,3000.0,69259.03645999999,3000.0,1.0,0.0433156473629636,1.0,N,N,
6,XS386114a,C18H26N4O2,O=C(NCCN1CCC(N2CCCCCC2)C1=O)c1ccccn1,ChemDivA03,ASTPP000926,448,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,33738.34766,29947.28516,42201.79688,35295.8099,44032.79622333334,3000.0,11.765269966666668,0.8015800250563343,0.0569621594012437,N,N,
6,XS386114a,C18H26N4O2,O=C(NCCN1CCC(N2CCCCCC2)C1=O)c1ccccn1,ChemDivA03,ASTPP000926,448,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,3000.0,3000.0,10460.47168,5486.823893333334,44032.79622333334,3000.0,1.828941297777778,0.1246076643759866,0.0006053109573758,N,N,
6,XS382710a;XS381375a,C21H23N5O2;C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2;CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,ChemDivA03,ASTPP000926,448,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,3000.0,33097.86719,14272.84277,16790.23665333333,1617236.8333333333,3000.0,5.59674555111111,0.0103820518474876,6.540128663702309e-06,N,N,
6,XS382710a;XS381375a,C21H23N5O2;C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2;CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,ChemDivA03,ASTPP000926,448,2,FLN5_NA_NA_NA,,,N_His,250 uL,1,0.2,,189066.8281,209105.1094,216045.5,204739.1458333333,1617236.8333333333,3000.0,68.24638194444445,0.1265981219407052,0.0139549963528798,N,N,
